ANO_CENSO|PK_COD_MATRICULA|FK_COD_ALUNO|NU_DIA|NU_MES|NU_ANO|NUM_IDADE|TP_SEXO|TP_COR_RACA|TP_NACIONALIDADE|FK_COD_PAIS_ORIGEM|FK_COD_ESTADO_NASC|SGL_UF_NASCIMENTO|FK_COD_MUNICIPIO_DNASC|FK_COD_ESTADO_END|SIGLA_END|FK_COD_MUNICIPIO_END|ID_ZONA_RESIDENCIAL|ID_TIPO_ATENDIMENTO|ID_N_T_E_P|ID_RESPONSAVEL_TRANSPORTE|ID_POSSUI_NEC_ESPECIAL|ID_TIPO_NEC_ESP_CEGUEIRA|ID_TIPO_NEC_ESP_BAIXA_VISAO|ID_TIPO_NEC_ESP_SURDEZ|ID_TIPO_NEC_ESP_DEF_AUDITIVA|ID_TIPO_NEC_ESP_SURDO_CEGUEIRA|ID_TIPO_NEC_ESP_DEF_FISICA|ID_TIPO_NEC_ESP_DEF_MENTAL|ID_TIPO_NEC_ESP_TRANSTORNOS|ID_TIPO_NEC_ESP_SINDROME_DOWN|ID_TIPO_NEC_ESP_DEF_MULTIPLAS|ID_TIPO_NEC_ESP_SUPERDOTACAO|ID_NEC_APO_ESP_PEDAGOGICO|FK_COD_MOD_ENSINO|FK_COD_ETAPA_ENSINO|PK_COD_TURMA|FK_COD_CURSO_PROF|COD_UNIFICADA|FK_COD_TIPO_TURMA|PK_COD_ENTIDADE|FK_COD_ESTADO_ESCOLA|SIGLA_ESCOLA|COD_MUNICIPIO_ESCOLA|ID_LOCALIZACAO_ESC|ID_DEPENDENCIA_ADM_ESC|DESC_CATA_ESCOLA_PRIV|ID_CONVENIADA_PP_ESC|ID_TIPO_CONVENIO_PODER_PUBLICO|ID_MANT_ESCOLA_PRIVADA_EMP|ID_MANT_ESCOLA_PRIVADA_ONG|ID_MANT_ESCOLA_PRIVADA_SIND|ID_MANT_ESCOLA_PRIVADA_APAE|ID_DOCUMENTO_REGULAMENTACAO|ID_LOCALIZACAO_DIFERENCIADA|ID_EDUCACAO_INDIGENA
2008|223694035|118285388769|14|4|1974|34|F|5|1|10|31|MG|3132107|31|MG|3162450|2|3|0||0|0|0|0|0|0|0|0|0|0|0|0||1|27|6919799||0|0|31297518|31|MG|3162450|2|2||||||||1|2|1
2008|223694036|112164729209|30|10|1987|21|F|0|1|10|31|MG|3132107|31|MG|3162450|2|3|1|2|0|0|0|0|0|0|0|0|0|0|0|0||1|27|6919799||0|0|31297518|31|MG|3162450|2|2||||||||1|2|1
2008|223694038|110805921990|13|2|1989|19|F|0|1|10|31|MG|3132107|31|MG|3162450|2|3|0||0|0|0|0|0|0|0|0|0|0|0|0||1|27|6919799||0|0|31297518|31|MG|3162450|2|2||||||||1|2|1
2008|223694039|118285408115|8|6|1989|19|F|5|1|10|31|MG|3132107|31|MG|3162450|2|3|0||0|0|0|0|0|0|0|0|0|0|0|0||1|27|6919799||0|0|31297518|31|MG|3162450|2|2||||||||1|2|1
2008|216541374|114426498014|27|7|1985|23|F|0|1|10|31|MG|3162450|31|MG|3162450|2|3|1|2|0|0|0|0|0|0|0|0|0|0|0|0||1|27|7487107||0|0|31269875|31|MG|3162450|2|2||||||||1|2|1
2008|216541376|112897418914|30|7|1989|19|F|0|1|10|31|MG|3132107|31|MG|3162450|2|3|1|2|0|0|0|0|0|0|0|0|0|0|0|0||1|27|7487107||0|0|31269875|31|MG|3162450|2|2||||||||1|2|1
2008|216541377|110202391310|2|4|1990|18|F|0|1|10|31|MG|3162450|31|MG|3162450|2|3|0||0|0|0|0|0|0|0|0|0|0|0|0||1|27|7487107||0|0|31269875|31|MG|3162450|2|2||||||||1|2|1
2008|216541378|111387705317|14|1|1983|25|F|0|1|10|31|MG|3132107|31|MG|3162450|2|3|1|2|0|0|0|0|0|0|0|0|0|0|0|0||1|27|7487107||0|0|31269875|31|MG|3162450|2|2||||||||1|2|1
2008|216541382|114803934281|12|8|1977|31|F|0|1|10|31|MG|3132107|31|MG|3162450|2|3|1|2|0|0|0|0|0|0|0|0|0|0|0|0||1|27|7487107||0|0|31269875|31|MG|3162450|2|2||||||||1|2|1
2008|216541384|110482121490|7|5|1976|32|F|0|1|10|31|MG|3132107|31|MG|3162450|2|3|1|2|0|0|0|0|0|0|0|0|0|0|0|0||1|27|7487107||0|0|31269875|31|MG|3162450|2|2||||||||1|2|1
2008|216541388|112164776800|9|11|1989|19|M|0|1|10|31|MG|3132107|31|MG|3162450|2|3|1|2|0|0|0|0|0|0|0|0|0|0|0|0||1|27|7487107||0|0|31269875|31|MG|3162450|2|2||||||||1|2|1
2008|223673372|111787131300|13|9|1986|22|F|0|1|10|31|MG|3132107|31|MG|3162450|2|3|0||0|0|0|0|0|0|0|0|0|0|0|0||1|27|6919159||0|0|31297518|31|MG|3162450|2|2||||||||1|2|1
2008|223673378|110579645818|7|4|1992|16|F|0|1|10|31|MG|3132107|31|MG|3162450|2|3|0||0|0|0|0|0|0|0|0|0|0|0|0||1|27|6919159||0|0|31297518|31|MG|3162450|2|2||||||||1|2|1
2008|229680044|112466478268|4|2|1988|20|F|0|1|10|31|MG|3135209|31|MG|3162450|2|3|0||0|0|0|0|0|0|0|0|0|0|0|0||1|27|6919159||0|0|31297518|31|MG|3162450|2|2||||||||1|2|1
2008|227821945|118285417882|3|3|1984|24|F|5|1|10|31|MG|3132107|31|MG|3162450|2|3|1|2|0|0|0|0|0|0|0|0|0|0|0|0||1|27|6919159||0|0|31297518|31|MG|3162450|2|2||||||||1|2|1
2008|227923470|118285419745|14|3|1971|37|F|5|1|10|31|MG|3162450|31|MG|3162450|2|3|1|2|0|0|0|0|0|0|0|0|0|0|0|0||1|27|6919159||0|0|31297518|31|MG|3162450|2|2||||||||1|2|1
