ANO_CENSO|PK_COD_MATRICULA|FK_COD_ALUNO|NU_DIA|NU_MES|NU_ANO|NUM_IDADE|TP_SEXO|TP_COR_RACA|TP_NACIONALIDADE|FK_COD_PAIS_ORIGEM|FK_COD_ESTADO_NASC|SGL_UF_NASCIMENTO|FK_COD_MUNICIPIO_DNASC|FK_COD_ESTADO_END|SIGLA_END|FK_COD_MUNICIPIO_END|ID_ZONA_RESIDENCIAL|ID_TIPO_ATENDIMENTO|ID_N_T_E_P|ID_RESPONSAVEL_TRANSPORTE|ID_POSSUI_NEC_ESPECIAL|ID_TIPO_NEC_ESP_CEGUEIRA|ID_TIPO_NEC_ESP_BAIXA_VISAO|ID_TIPO_NEC_ESP_SURDEZ|ID_TIPO_NEC_ESP_DEF_AUDITIVA|ID_TIPO_NEC_ESP_SURDO_CEGUEIRA|ID_TIPO_NEC_ESP_DEF_FISICA|ID_TIPO_NEC_ESP_DEF_MENTAL|ID_TIPO_NEC_ESP_DEF_MULTIPLAS|ID_TIPO_NEC_ESP_AUTISMO|ID_TIPO_NEC_ESP_ASPERGER|ID_TIPO_NEC_ESP_RETT|ID_TIPO_NEC_ESP_TDI|ID_TIPO_NEC_ESP_SUPERDOTACAO|FK_COD_MOD_ENSINO|FK_COD_ETAPA_ENSINO|PK_COD_TURMA|FK_COD_CURSO_PROF|COD_UNIFICADA|FK_COD_TIPO_TURMA|PK_COD_ENTIDADE|FK_COD_ESTADO_ESCOLA|SIGLA_ESCOLA|COD_MUNICIPIO_ESCOLA|ID_LOCALIZACAO_ESC|ID_DEPENDENCIA_ADM_ESC|DESC_CATA_ESCOLA_PRIV|ID_CONVENIADA_PP_ESC|ID_TIPO_CONVENIO_PODER_PUBLICO|ID_MANT_ESCOLA_PRIVADA_EMP|ID_MANT_ESCOLA_PRIVADA_ONG|ID_MANT_ESCOLA_PRIVADA_SIND|ID_MANT_ESCOLA_PRIVADA_S_FINS|ID_DOCUMENTO_REGULAMENTACAO|ID_LOCALIZACAO_DIFERENCIADA|ID_EDUCACAO_INDIGENA
2010|49364975|119569923406|12|6|1990|20|F|5|1|10|31|MG|3132107|31|MG|3162450|2|3|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|26|2283208||0|0|31322571|31|MG|3162450|2|2||||0|0|0|0|1|2|1
2010|49364977|111224004972|10|3|1992|18|M|5|1|10|31|MG|3162450|31|MG|3162450|2|3|0||0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|26|2283208||0|0|31322571|31|MG|3162450|2|2||||0|0|0|0|1|2|1
2010|49364982|122030690740|11|3|1989|21|F|5|1|10|31|MG|3162450|31|MG|3162450|2|3|0||0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|26|2283208||0|0|31322571|31|MG|3162450|2|2||||0|0|0|0|1|2|1
2010|49364983|122030690820|21|2|1987|23|F|5|1|10|31|MG|3132107|31|MG|3162450|2|3|0||0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|26|2283208||0|0|31322571|31|MG|3162450|2|2||||0|0|0|0|1|2|1
2010|49364984|114118632674|17|9|1993|17|F|5|1|10|31|MG|3132107|31|MG|3162450|2|3|0||0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|26|2283208||0|0|31322571|31|MG|3162450|2|2||||0|0|0|0|1|2|1
2010|49364985|110544822098|27|4|1992|18|F|5|1|10|31|MG|3132107|31|MG|3162450|2|3|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|26|2283208||0|0|31322571|31|MG|3162450|2|2||||0|0|0|0|1|2|1
2010|49364986|122030691126|12|1|1987|23|M|5|1|10|31|MG|3132107|31|MG|3162450|2|3|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|26|2283208||0|0|31322571|31|MG|3162450|2|2||||0|0|0|0|1|2|1
2010|49364987|119570046901|6|9|1991|19|M|5|1|10|31|MG|3132107|31|MG|3162450|2|3|0||0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|26|2283208||0|0|31322571|31|MG|3162450|2|2||||0|0|0|0|1|2|1
2010|49365068|122030696357|4|12|1985|25|F|5|1|10|31|MG|3132107|31|MG|3162450|2|3|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|26|2283208||0|0|31322571|31|MG|3162450|2|2||||0|0|0|0|1|2|1
2010|49365069|111601369041|4|9|1993|17|F|5|1|10|31|MG|3132107|31|MG|3162450|2|3|0||0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|26|2283208||0|0|31322571|31|MG|3162450|2|2||||0|0|0|0|1|2|1
2010|49365087|122030697167|20|3|1994|16|F|5|1|10|31|MG|3132107|31|MG|3162450|2|3|0||0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|26|2283208||0|0|31322571|31|MG|3162450|2|2||||0|0|0|0|1|2|1
2010|49364555|110092231356|21|6|1991|19|M|5|1|10|31|MG|3132107|31|MG|3162450|2|3|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|26|2283208||0|0|31322571|31|MG|3162450|2|2||||0|0|0|0|1|2|1
2010|49364560|119149313516|6|5|1994|16|F|5|1|10|31|MG|3132107|31|MG|3162450|2|3|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|26|2283208||0|0|31322571|31|MG|3162450|2|2||||0|0|0|0|1|2|1
2010|49364576|110620237227|20|10|1991|19|F|5|1|10|31|MG|3162450|31|MG|3162450|2|3|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|26|2283208||0|0|31322571|31|MG|3162450|2|2||||0|0|0|0|1|2|1
2010|49364594|111148487351|12|5|1992|18|F|5|1|10|31|MG|3162450|31|MG|3162450|2|3|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|26|2283208||0|0|31322571|31|MG|3162450|2|2||||0|0|0|0|1|2|1
2010|49364601|111299418413|11|2|1995|15|F|5|1|10|31|MG|3132107|31|MG|3162450|2|3|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|26|2283208||0|0|31322571|31|MG|3162450|2|2||||0|0|0|0|1|2|1
2010|49364606|111450521001|10|4|1995|15|F|5|1|10|31|MG|3132107|31|MG|3162450|2|3|0||0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|26|2283208||0|0|31322571|31|MG|3162450|2|2||||0|0|0|0|1|2|1
2010|49364632|111827920229|16|3|1988|22|F|5|1|10|31|MG|3132107|31|MG|3162450|2|3|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|26|2283208||0|0|31322571|31|MG|3162450|2|2||||0|0|0|0|1|2|1
2010|49364649|112280921250|12|11|1990|20|F|5|1|10|31|MG|3132107|31|MG|3162450|2|3|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|26|2283208||0|0|31322571|31|MG|3162450|2|2||||0|0|0|0|1|2|1
2010|49364662|112582708541|26|4|1993|17|F|5|1|10|31|MG|3162450|31|MG|3162450|2|3|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|26|2283208||0|0|31322571|31|MG|3162450|2|2||||0|0|0|0|1|2|1
2010|49364669|112809360455|29|7|1993|17|M|5|1|10|31|MG|3132107|31|MG|3162450|2|3|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|26|2283208||0|0|31322571|31|MG|3162450|2|2||||0|0|0|0|1|2|1
