NU_ANO_CENSO|ID_MATRICULA|CO_PESSOA_FISICA|NU_DIA|NU_MES|NU_ANO|NU_IDADE_REFERENCIA|NU_IDADE|NU_DURACAO_TURMA|NU_DUR_ATIV_COMP_MESMA_REDE|NU_DUR_ATIV_COMP_OUTRAS_REDES|NU_DUR_AEE_MESMA_REDE|NU_DUR_AEE_OUTRAS_REDES|NU_DIAS_ATIVIDADE|TP_SEXO|TP_COR_RACA|TP_NACIONALIDADE|CO_PAIS_ORIGEM|CO_UF_NASC|CO_MUNICIPIO_NASC|CO_UF_END|CO_MUNICIPIO_END|TP_ZONA_RESIDENCIAL|TP_OUTRO_LOCAL_AULA|IN_TRANSPORTE_PUBLICO|TP_RESPONSAVEL_TRANSPORTE|IN_TRANSP_VANS_KOMBI|IN_TRANSP_MICRO_ONIBUS|IN_TRANSP_ONIBUS|IN_TRANSP_BICICLETA|IN_TRANSP_TR_ANIMAL|IN_TRANSP_OUTRO_VEICULO|IN_TRANSP_EMBAR_ATE5|IN_TRANSP_EMBAR_5A15|IN_TRANSP_EMBAR_15A35|IN_TRANSP_EMBAR_35|IN_TRANSP_TREM_METRO|IN_NECESSIDADE_ESPECIAL|IN_CEGUEIRA|IN_BAIXA_VISAO|IN_SURDEZ|IN_DEF_AUDITIVA|IN_SURDOCEGUEIRA|IN_DEF_FISICA|IN_DEF_INTELECTUAL|IN_DEF_MULTIPLA|IN_AUTISMO|IN_SINDROME_ASPERGER|IN_SINDROME_RETT|IN_TRANSTORNO_DI|IN_SUPERDOTACAO|IN_RECURSO_LEDOR|IN_RECURSO_TRANSCRICAO|IN_RECURSO_INTERPRETE|IN_RECURSO_LIBRAS|IN_RECURSO_LABIAL|IN_RECURSO_BRAILLE|IN_RECURSO_AMPLIADA_16|IN_RECURSO_AMPLIADA_20|IN_RECURSO_AMPLIADA_24|IN_RECURSO_NENHUM|TP_INGRESSO_FEDERAIS|TP_MEDIACAO_DIDATICO_PEDAGO|IN_ESPECIAL_EXCLUSIVA|IN_REGULAR|IN_EJA|IN_PROFISSIONALIZANTE|TP_ETAPA_ENSINO|TP_ETAPA_AGREGADA|ID_TURMA|CO_CURSO_EDUC_PROFISSIONAL|TP_UNIFICADA|TP_TIPO_TURMA|CO_ENTIDADE|CO_REGIAO|CO_MESORREGIAO|CO_MICRORREGIAO|CO_UF|CO_MUNICIPIO|CO_DISTRITO|TP_DEPENDENCIA|TP_LOCALIZACAO|TP_CATEGORIA_ESCOLA_PRIVADA|IN_CONVENIADA_PP|TP_CONVENIO_PODER_PUBLICO|IN_MANT_ESCOLA_PRIVADA_EMP|IN_MANT_ESCOLA_PRIVADA_ONG|IN_MANT_ESCOLA_PRIVADA_SIND|IN_MANT_ESCOLA_PRIVADA_SIST_S|IN_MANT_ESCOLA_PRIVADA_S_FINS|TP_REGULAMENTACAO|TP_LOCALIZACAO_DIFERENCIADA|IN_EDUCACAO_INDIGENA
2015|138075472|113790466882|5|3|1998|17|17|260|0|0|0|0|5|1|5|1|76|31|3139300|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|27|4|4844964||0|0|31319058|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2015|138075465|112582690235|16|11|1997|17|18|260|0|0|0|0|5|2|5|1|76|31|3139300|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|27|4|4844964||0|0|31319058|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2015|138075334|110499643657|9|9|1997|17|18|260|0|0|0|0|5|2|5|1|76|31|3132107|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|27|4|4844964||0|0|31319058|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2015|138075478|111978969707|25|7|1997|17|18|260|0|0|0|0|5|1|5|1|76|31|3139300|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|27|4|4844964||0|0|31319058|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2015|138075471|110921932005|9|8|1998|16|17|260|0|0|0|0|5|1|5|1|76|31|3139300|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|27|4|4844964||0|0|31319058|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2015|138075338|110771139356|8|2|1994|21|21|260|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|27|4|4844964||0|0|31319058|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2015|138075470|111072851279|15|12|1995|19|20|260|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|27|4|4844964||0|0|31319058|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2015|138937328|112013854586|16|9|1995|19|20|270|0|0|0|0|5|2|5|1|76|31|3132107|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|27|4|4883370||0|0|31356786|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2015|138937219|124204212483|25|9|1993|21|22|270|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|1|2|0|1|0|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||1|0|1|0|0|27|4|4883370||0|0|31356786|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2015|138937397|119590661709|22|12|1996|18|19|270|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|27|4|4883370||0|0|31356786|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2015|138937353|118274638300|29|9|1983|31|32|270|0|0|0|0|5|2|5|1|76|31|3132107|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|27|4|4883370||0|0|31356786|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2015|138937336|113447793014|23|12|1991|23|24|270|0|0|0|0|5|2|5|1|76|31|3132107|31|3162450|2|3|1|2|0|1|0|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||1|0|1|0|0|27|4|4883370||0|0|31356786|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2015|138937335|113070514480|5|9|1996|18|19|270|0|0|0|0|5|2|5|1|76|31|3162450|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|27|4|4883370||0|0|31356786|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2015|138937339|114502004196|3|10|1992|22|23|270|0|0|0|0|5|2|5|1|76|31|3132107|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|27|4|4883370||0|0|31356786|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2015|139303099|113652183680|8|9|1997|17|18|260|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|27|4|4896990||0|0|31338770|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2015|139303101|111161134815|14|1|1998|17|17|260|0|0|0|0|5|1|5|1|76|31|3162450|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|27|4|4896990||0|0|31338770|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2015|139303024|114489153251|8|5|1993|22|22|260|0|0|0|0|5|2|5|1|76|31|3132107|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|27|4|4896990||0|0|31338770|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2015|139303097|113048278442|26|10|1997|17|18|260|0|0|0|0|5|2|5|1|76|31|3139300|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|27|4|4896990||0|0|31338770|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
2015|139303098|113123853321|19|12|1997|17|18|260|0|0|0|0|5|1|5|1|76|31|3139300|31|3162450|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|27|4|4896990||0|0|31338770|3|3102|31003|31|3162450|316245005|2|2|||||||||1|2|1
