Id, NU_ANO_CENSO, ID_ALUNO, ID_MATRICULA, NU_DIA, NU_MES, NU_ANO, TP_SEXO, TP_COR_RACA, CO_UF_NASC, CO_MUNICIPIO_NASC, CO_UF_END, CO_MUNICIPIO_END, TP_ZONA_RESIDENCIAL, IN_NECESSIDADE_ESPECIAL, IN_REGULAR, IN_EJA, IN_PROFISSIONALIZANTE, TP_ETAPA_ENSINO, ID_TURMA, TP_UNIFICADA, CO_ENTIDADE, TP_DEPENDENCIA, TP_LOCALIZACAO_DIFERENCIADA, IN_EDUCACAO_INDIGENA 
1,2007,111450504174,136485301,9,5,1990, F,0,31,3162450,31,3162450,0,0, , , ,41,2761088,0,31319058,0,2,1
2,2007,116868922174,136556675,13,8,1985, M,5,31,3132107,31,3162450,0,0, , , ,41,2761088,0,31319058,0,2,1
3,2007,112129935353,136446444,8,6,1992, M,0,31,3162450,31,3162450,0,0, , , ,41,2761088,0,31319058,0,2,1
4,2007,113985802016,136218302,18,11,1992, F,0,31,3162450,31,3162450,0,0, , , ,41,2761088,0,31319058,0,2,1
5,2007,111601351266,136190381,7,4,1981, F,0,31,3132107,31,3162450,0,0, , , ,41,2761088,0,31319058,0,2,1
6,2007,114338323808,136241205,21,6,1985, M,0,31,3162450,31,3162450,0,0, , , ,41,2761088,0,31319058,0,2,1
7,2007,114413826905,136137537,3,7,1990, M,0,31,3132107,31,3162450,0,0, , , ,41,2761088,0,31319058,0,2,1
8,2007,110016757032,136124817,6,6,1986, M,0,31,3162450,31,3162450,0,0, , , ,41,2761088,0,31319058,0,2,1
9,2007,111827902670,135550112,23,10,1993, F,0,31,3162450,31,3162450,0,0, , , ,41,2761088,0,31319058,0,2,1
10,2007,110092213293,135646555,31,5,1991, M,0,31,3162450,31,3162450,0,0, , , ,41,2761088,0,31319058,0,2,1
11,2007,112129935434,135649266,3,3,1986, M,0,31,3132107,31,3162450,0,0, , , ,41,2761088,0,31319058,0,2,1
12,2007,110997294166,135589162,17,10,1987, M,0,31,3162450,31,3162450,0,0, , , ,41,2761088,0,31319058,0,2,1
13,2007,113337586693,135639008,12,12,1989, F,0,31,3162450,31,3132107,0,0, , , ,41,2761088,0,31319058,0,2,1
14,2007,112507136250,135573168,27,10,1992, M,0,31,3162450,31,3162450,0,0, , , ,41,2761088,0,31319058,0,2,1
15,2007,114338324960,135591932,27,12,1988, M,0,31,3132107,31,3162450,0,0, , , ,41,2761088,0,31319058,0,2,1
16,2007,111072853212,135582112,17,12,1988, M,0,31,3162450,31,3162450,0,0, , , ,41,2761088,0,31319058,0,2,1
17,2007,112205417109,135545630,10,12,1991, F,0,31,3162450,31,3162450,0,0, , , ,41,2761088,0,31319058,0,2,1
18,2007,114564789669,135525144,4,9,1992, F,0,31,3139300,31,3162450,0,0, , , ,41,2761088,0,31319058,0,2,1
19,2007,110918759284,138338697,22,6,1989, F,5,31,3139300,31,3162450,0,0, , , ,41,2761088,0,31319058,0,2,1
20,2007,111299422607,138432763,21,8,1992, F,0,31,3162450,31,3162450,0,0, , , ,41,2761088,0,31319058,0,2,1
21,2007,111538603097,159523253,18,12,1987, M,0,31,3132107,31,3162450,0,0, , , ,25,3588064,0,31269875,0,2,1
22,2007,111991678435,159528242,16,12,1992, F,0,31,3132107,31,3162450,0,0, , , ,25,3588064,0,31269875,0,2,1
23,2007,112822031699,159525004,14,2,1991, F,0,31,3132107,31,3162450,0,0, , , ,25,3588064,0,31269875,0,2,1
24,2007,112595439439,159526952,31,12,1990, M,0,31,3162450,31,3132107,0,0, , , ,25,3588064,0,31269875,0,2,1
25,2007,114954569353,159535517,6,3,1988, F,0,31,3132107,31,3162450,0,0, , , ,25,3588064,0,31269875,0,2,1
26,2007,113727703562,159525189,3,8,1987, M,0,31,3132107,31,3162450,0,0, , , ,25,3588064,0,31269875,0,2,1
27,2007,111183258932,159529479,21,3,1992, F,0,31,3132107,31,3162450,0,0, , , ,25,3588064,0,31269875,0,2,1
28,2007,110051603259,159529356,10,6,1983, F,0,31,3132107,31,3162450,0,0, , , ,25,3588064,0,31269875,0,2,1
29,2007,112519769644,159528131,26,4,1990, M,0,31,3132107,31,3162450,0,0, , , ,25,3588064,0,31269875,0,2,1
30,2007,110029401843,159529531,1,6,1990, F,0,31,3132107,31,3162450,0,0, , , ,25,3588064,0,31269875,0,2,1
31,2007,113274820295,159526312,29,12,1990, M,0,31,3132107,31,3162450,0,0, , , ,25,3588064,0,31269875,0,2,1
32,2007,114577499125,159526056,11,7,1988, F,0,31,3132107,31,3162450,0,0, , , ,25,3588064,0,31269875,0,2,1
33,2007,110783854322,159527591,16,11,1991, M,0,31,3162450,31,3162450,0,0, , , ,25,3588064,0,31269875,0,2,1
34,2007,115689253609,159532685,1,10,1982, F,0,31,3162450,31,3132107,0,0, , , ,25,3588064,0,31269875,0,2,1
35,2007,111085563536,159528716,12,11,1985, F,0,31,3162450,31,3132107,0,0, , , ,25,3588064,0,31269875,0,2,1
36,2007,113123828130,159528749,3,11,1982, F,0,31,3162450,31,3162450,0,0, , , ,25,3588064,0,31269875,0,2,1
37,2007,118134516210,159531959,10,9,1985, F,5,31,3132107,31,3162450,0,0, , , ,25,3588064,0,31269875,0,2,1
38,2007,111312137850,159525473,23,12,1987, F,0,31,3132107,31,3162450,0,0, , , ,25,3588064,0,31269875,0,2,1
39,2007,114009235739,159557524,23,4,1979, F,0,31,3132107,31,3162450,0,0, , , ,27,3588444,0,31269875,0,2,1
40,2007,110180346503,159553803,24,6,1985, F,0,31,3132107,31,3162450,0,0, , , ,27,3588444,0,31269875,0,2,1
41,2007,111387677780,159553055,2,9,1978, F,0,31,3162450,31,3132107,0,0, , , ,27,3588444,0,31269875,0,2,1
42,2007,112670931293,159554112,12,7,1987, F,0,31,3132107,31,3162450,0,0, , , ,27,3588444,0,31269875,0,2,1
43,2007,110859268771,159554130,5,2,1984, F,0,31,3132107,31,3162450,0,0, , , ,27,3588444,0,31269875,0,2,1
44,2007,118137526489,159563547,21,10,1989, F,5,31,3139300,31,3162450,0,0, , , ,27,3588444,0,31269875,0,2,1
45,2007,111916163121,159555121,9,9,1988, F,0,31,3132107,31,3162450,0,0, , , ,27,3588444,0,31269875,0,2,1
46,2007,111236688685,159555346,26,1,1982, F,0,31,3132107,31,3162450,0,0, , , ,27,3588444,0,31269875,0,2,1
47,2007,113501130855,159556460,21,4,1980, F,0,31,3162450,31,3162450,0,0, , , ,27,3588444,0,31269875,0,2,1
48,2007,112293584207,159557192,23,7,1992, F,0,31,3162450,31,3132107,0,0, , , ,27,3588444,0,31269875,0,2,1
49,2007,114954559048,159559022,26,10,1985, F,0,31,3132107,31,3162450,0,0, , , ,27,3588444,0,31269875,0,2,1
50,2007,110783856295,159552223,15,10,1987, F,0,31,3162450,31,3162450,0,0, , , ,27,3588444,0,31269875,0,2,1
51,2007,114426486350,159558390,29,6,1985, M,0,31,3132107,31,3162450,0,0, , , ,27,3588444,0,31269875,0,2,1
52,2007,113048307728,159541216,5,6,1987, F,0,31,3162450,31,3132107,0,0, , , ,26,3588329,0,31269875,0,2,1
53,2007,112897418914,159537604,30,7,1989, F,0,31,3132107,31,3162450,0,0, , , ,26,3588329,0,31269875,0,2,1
54,2007,111387705317,159545159,14,1,1983, F,0,31,3132107,31,3162450,0,0, , , ,26,3588329,0,31269875,0,2,1
55,2007,118136173094,159550683,30,6,1988, F,5,31,3132107,31,3162450,0,0, , , ,26,3588329,0,31269875,0,2,1
56,2007,110482121490,159546046,7,5,1976, F,0,31,3132107,31,3162450,0,0, , , ,26,3588329,0,31269875,0,2,1
57,2007,114803934281,159545393,12,8,1977, F,0,31,3132107,31,3162450,0,0, , , ,26,3588329,0,31269875,0,2,1
58,2007,114426498014,159543337,27,7,1985, F,0,31,3162450,31,3162450,0,0, , , ,26,3588329,0,31269875,0,2,1
59,2007,112164776800,159546582,9,11,1989, M,0,31,3132107,31,3162450,0,0, , , ,26,3588329,0,31269875,0,2,1
60,2007,110202391310,159543913,2,4,1990, F,0,31,3162450,31,3162450,0,0, , , ,26,3588329,0,31269875,0,2,1
61,2007,112519793782,159092076,12,8,1990, F,0,31,3132107,31,3162450,0,0, , , ,41,3581964,0,31269875,0,2,1
62,2007,111161165885,159092618,24,3,1980, F,0,31,3132107,31,3162450,0,0, , , ,41,3581964,0,31269875,0,2,1
63,2007,110104949537,159093039,20,11,1991, M,0,31,3132107,31,3162450,0,0, , , ,41,3581964,0,31269875,0,2,1
64,2007,111312138903,159093208,3,1,1988, M,0,31,3132107,31,3162450,0,0, , , ,41,3581964,0,31269875,0,2,1
65,2007,113274820457,159093753,27,9,1989, M,0,31,3132107,31,3162450,0,0, , , ,41,3581964,0,31269875,0,2,1
66,2007,110051548649,159094063,31,12,1986, F,0,31,3132107,31,3162450,0,0, , , ,41,3581964,0,31269875,0,2,1
67,2007,114652895002,159094622,27,3,1993, F,0,31,3132107,31,3162450,0,0, , , ,41,3581964,0,31269875,0,2,1
68,2007,112595439510,159094986,4,11,1992, F,0,31,3132107,31,3162450,0,0, , , ,41,3581964,0,31269875,0,2,1
69,2007,110859289426,159095465,27,9,1989, F,0,31,3162450,31,3132107,0,0, , , ,41,3581964,0,31269875,0,2,1
70,2007,111636065456,159095939,17,2,1990, F,0,31,3162450,31,3132107,0,0, , , ,41,3581964,0,31269875,0,2,1
71,2007,113350256936,159096472,20,6,1982, F,0,31,3132107,31,3162450,0,0, , , ,41,3581964,0,31269875,0,2,1
72,2007,114266751515,159096860,27,10,1981, M,0,31,3132107,31,3162450,0,0, , , ,41,3581964,0,31269875,0,2,1
